slug,corpus,vocabulary_size,single_zm_bic,moe_bic,hard_piecewise_bic,continuous_piecewise_bic,smooth_ksqrtv_bic,smooth_freek_bic,winner_family,legacy_v4_zipf_rank_bic,legacy_v4_zipf_rank_bic_delta_vs_single_zm_bic
aesops_fables,Aesop's Fables,4394,-15684.69264166403,-21885.368669653348,-15843.084483683646,-17268.19551621003,-18963.19812119216,-19391.653459837325,moezipf,-12670.180536186308,3014.512105477723
arabian_nights_vol1,Arabian Nights (Vol 1),13883,-47256.11470799599,-69168.46249956149,-47638.93510904801,-55504.65336405775,-62030.61797892044,-62143.89844522496,moezipf,-50830.116914490405,-3574.0022064944133
canterbury_tales,Canterbury Tales,17653,-63259.82602854409,-101300.03335052787,-63804.287007383464,-69639.90566047808,-77246.43463393048,-77236.86632779423,moezipf,-50560.11327426805,12699.712754276043
collected_poe,Collected Poe,9312,-32688.845461047335,-45261.33580292796,-33310.31778739238,-35087.77458853713,-40672.681745525486,-40831.211228080116,moezipf,-25215.777551337356,7473.067909709978
complete_sherlock_holmes,Complete Sherlock Holmes,7817,-27921.634538798946,-40468.707835072986,-28295.381035149432,-30308.671777024498,-34490.85731906035,-34530.94033925923,moezipf,-20995.108185162168,6926.526353636778
critique_of_pure_reason,Critique of Pure Reason,6537,-22706.845057325914,-23849.36809419295,-23773.13697049765,-25466.457107244634,-29433.51881449888,-29595.69128300505,smooth_freek,-14148.071326358715,8558.7737309672
decline_and_fall_vol1,Decline and Fall Vol 1,15983,-49905.77567443126,-52356.86822673601,-54638.76164643992,-55709.652042706875,-69547.29502556907,-69537.91700212387,smooth_ksqrtv,-31917.504940204068,17988.27073422719
democracy_in_america,Democracy in America,9301,-30634.47558000914,-38313.77769530562,-34972.1631832039,-35342.652009649355,-40092.57284765167,-40143.510145736574,smooth_freek,-14582.579731645992,16051.895848363149
don_quixote,Don Quixote,15574,-54303.887906281096,-75962.50980625792,-58779.038755268455,-59310.259970410094,-66995.85796535228,-67170.2605692313,moezipf,-29762.61979578605,24541.268110495046
dubliners,Dubliners,7157,-24939.9668073569,-40824.98692801231,-25811.766877303875,-29786.058880167333,-31306.992237572074,-31482.404618819775,moezipf,-25870.974360694698,-931.0075533377967
emile,Emile,11174,-38448.01428120331,-48543.03715374066,-40998.70449671742,-41424.07868940867,-49024.03245121516,-49051.258635082726,smooth_freek,-22926.005540880593,15522.008740322715
federalist_papers,Federalist Papers,8617,-28166.080593495706,-36721.751338953196,-32860.0659914497,-33288.662833397,-36886.055908208546,-36927.26164023774,smooth_freek,-12379.78762689805,15786.292966597655
grimms_fairy_tales,Grimm's Fairy Tales,4746,-17135.686772831286,-21294.656735673077,-18039.96312322662,-18124.969471005643,-20805.059994228373,-21037.641760259223,moezipf,-8336.057243373949,8799.629529457337
jane_eyre,Jane Eyre,12541,-45741.77821470575,-76507.89811816541,-46840.599264599135,-47076.644247089804,-53891.00903039347,-53882.153406096295,moezipf,-29254.303150286396,16487.475064419355
king_james_bible,King James Bible,12555,-41907.6053629648,-47874.054455313584,-48095.57774059426,-48651.42291846986,-53984.72268958395,-54050.99561129507,smooth_freek,-17629.253873637634,24278.351489327168
les_miserables,Les Miserables,22677,-75670.5037681697,-92426.56810682865,-83616.16870003795,-84620.7388906257,-97003.4393029264,-97526.817881669,smooth_freek,-42391.253771364834,33279.249996804865
moby_dick,Moby Dick,16956,-61790.61638187732,-101486.28882686891,-62604.79706120788,-65259.3577652924,-72029.03702790226,-72186.8048492274,moezipf,-42729.37951994055,19061.23686193677
origin_of_species,Origin of Species,6887,-23550.216622277163,-29118.159589637908,-26932.752156212176,-26976.169814666213,-30103.399038199565,-30255.316817805127,smooth_freek,-8871.487434773684,14678.729187503479
pride_and_prejudice,Pride and Prejudice,6729,-24143.67602757645,-31143.017880006348,-25114.780778724664,-25206.861022422392,-29675.32125635175,-29694.861651812742,moezipf,-13873.772324762993,10269.903702813457
principia_ethica,Principia Ethica,3814,-12824.903234798714,-12512.692907770259,-14147.407276204915,-14140.368313183599,-17291.60213337254,-17337.905446058765,smooth_freek,-5949.1412912973765,6875.761943501338
shakespeare,Complete Works of Shakespeare,24458,-82661.35164721734,-91409.5061530216,-90451.46746452128,-91204.22012216551,-105617.96337390783,-106454.65816547151,smooth_freek,-44071.25148930634,38590.100157910994
the_iliad,The Iliad,12300,-41835.22687045291,-46562.699250974896,-44492.388800548935,-44855.166677011664,-54215.657646640735,-54464.34692153954,smooth_freek,-24316.524726870994,17518.70214358192
ulysses,Ulysses,28990,-98239.37074632023,-198864.1919280297,-99426.32648036978,-119050.9203431415,-127886.44169097063,-127892.96922405055,moezipf,-125584.26199354013,-27344.8912472199
war_and_peace,War and Peace,17445,-59226.68392407176,-74735.57929837411,-67146.12822622796,-67729.39499117967,-73829.04357612373,-73969.50670068902,moezipf,-25789.18823477477,33437.49568929699
wealth_of_nations,Wealth of Nations,9478,-32329.268064825468,-36266.672043584345,-36751.66321534303,-36808.526928385356,-41440.85096175075,-41510.2024745571,smooth_freek,-12315.252915049632,20014.015149775834
