metric_name,new_value,historical_value,abs_diff,matches
forced_alpha,0.5214222874234132,0.5214222874234132,0.0,True
forced_alpha_se,0.014498655766700645,0.014498655766700645,0.0,True
forced_alpha_ci_low,0.4914985326409799,0.4914985326409799,0.0,True
forced_alpha_ci_high,0.5513460422058466,0.5513460422058466,0.0,True
forced_alpha_df,24,24,0.0,True
mean_alpha_per_corpus,0.5233587827304038,0.5233587827304038,0.0,True
median_alpha_per_corpus,0.5010318155557384,0.5010318155557384,0.0,True
mean_alpha_ci_low,0.4915929814532695,0.4915929814532695,0.0,True
mean_alpha_ci_high,0.5551245840075381,0.5551245840075381,0.0,True
alpha_stat_vs_half_t_statistic,1.517674862285457,1.517674862285457,0.0,True
alpha_stat_vs_half_pvalue,0.14215982943526212,0.14215982943526212,0.0,True
forced_alpha_vs_half_pvalue,0.14215982943526212,0.14215982943526212,0.0,True
alpha_stat_vs_half_df,24,24,0.0,True
