part,name,detail,tokens,V,tok_per_V,lam,rmse_zm,rmse_lzm,impr_pct
sim,ga_reference,run0_M400k,400000,25895,15.4,22.61,0.1765,0.1556,11.8
sim,ga_reference,run0_M1600k,1600000,58933,27.1,24.41,0.188,0.1579,15.99
sim,ga_reference,run1_M400k,400000,26043,15.4,23.69,0.1821,0.1563,14.16
sim,ga_reference,run1_M1600k,1600000,59070,27.1,24.77,0.1902,0.1557,18.14
sim,pure_simon_decay,run0_M400k,400000,21147,18.9,22.54,0.1743,0.1575,9.62
sim,pure_simon_decay,run0_M1600k,1600000,52808,30.3,25.55,0.1774,0.1574,11.29
sim,pure_simon_decay,run1_M400k,400000,20758,19.3,22.22,0.1737,0.1601,7.83
sim,pure_simon_decay,run1_M1600k,1600000,52323,30.6,25.53,0.1747,0.156,10.72
sim,classic_simon,run0_M400k,400000,19860,20.1,24.66,0.1689,0.1598,5.35
sim,classic_simon,run0_M1600k,1600000,79500,20.1,28.3,0.1699,0.1616,4.86
sim,classic_simon,run1_M400k,400000,19829,20.2,23.93,0.1728,0.1622,6.12
sim,classic_simon,run1_M1600k,1600000,79767,20.1,28.2,0.1698,0.1608,5.31
panel,da,concat,659007,23837,27.6,25.19,0.1739,0.1594,8.36
panel,de,concat,530663,52050,10.2,27.0,0.1876,0.1725,8.07
panel,el,concat,156937,25868,6.1,25.94,0.2011,0.1658,17.56
panel,es,concat,826125,42302,19.5,24.99,0.1782,0.1672,6.14
panel,fi,concat,613442,90857,6.8,26.68,0.2084,0.1864,10.56
panel,fr,concat,731914,31149,23.5,26.4,0.1782,0.1568,12.02
panel,hu,concat,375694,61559,6.1,29.37,0.2125,0.176,17.18
panel,it,concat,812489,46239,17.6,24.44,0.1825,0.1726,5.41
panel,nl,concat,554357,40742,13.6,23.97,0.1897,0.1766,6.89
panel,pt,concat,2786800,202454,13.8,35.53,0.205,0.1757,14.3
panel,sv,concat,1069574,39529,27.1,26.66,0.1799,0.1661,7.63
depth,Complete Works of Shakespeare,f1.0_r0,988670,24458,40.4,23.54,0.1844,0.1577,14.52
depth,Complete Works of Shakespeare,f0.5_r0,494700,18826,26.3,21.79,0.1777,0.1605,9.69
depth,Complete Works of Shakespeare,f0.5_r1,494091,18804,26.3,21.85,0.1762,0.1591,9.76
depth,Complete Works of Shakespeare,f0.25_r0,247639,14066,17.6,20.47,0.1732,0.164,5.3
depth,Complete Works of Shakespeare,f0.25_r1,247290,14173,17.4,20.14,0.1777,0.1685,5.21
depth,Complete Works of Shakespeare,f0.125_r0,124296,10482,11.9,18.29,0.1734,0.1679,3.18
depth,Complete Works of Shakespeare,f0.125_r1,123525,10459,11.8,18.59,0.175,0.1701,2.81
depth,Complete Works of Shakespeare,f0.0625_r0,61503,7392,8.3,16.26,0.1817,0.1717,5.5
depth,Complete Works of Shakespeare,f0.0625_r1,62086,7374,8.4,16.05,0.1811,0.1717,5.19
depth,War and Peace,f1.0_r0,583368,17445,33.4,23.71,0.183,0.1467,19.81
depth,War and Peace,f0.5_r0,291949,13614,21.4,21.65,0.1752,0.1559,10.97
depth,War and Peace,f0.5_r1,291741,13611,21.4,21.68,0.1728,0.1533,11.28
depth,War and Peace,f0.25_r0,146415,10325,14.2,19.03,0.1668,0.1588,4.78
depth,War and Peace,f0.25_r1,146101,10254,14.2,19.32,0.1669,0.1582,5.18
depth,War and Peace,f0.125_r0,73212,7556,9.7,17.27,0.1701,0.1634,3.96
depth,War and Peace,f0.125_r1,73167,7462,9.8,17.36,0.1662,0.1609,3.18
depth,War and Peace,f0.0625_r0,36276,5234,6.9,16.16,0.1812,0.1662,8.28
depth,War and Peace,f0.0625_r1,36428,5280,6.9,16.02,0.1774,0.1627,8.24
depth,Les Miserables,f1.0_r0,575614,22677,25.4,23.69,0.1884,0.1582,16.04
depth,Les Miserables,f0.5_r0,288184,17153,16.8,22.85,0.1794,0.1615,9.95
depth,Les Miserables,f0.5_r1,288123,17194,16.8,22.57,0.1811,0.1636,9.69
depth,Les Miserables,f0.25_r0,143820,12608,11.4,21.22,0.1731,0.1659,4.16
depth,Les Miserables,f0.25_r1,144062,12699,11.3,21.34,0.1706,0.1636,4.06
depth,Les Miserables,f0.125_r0,71705,8976,8.0,19.74,0.1726,0.1641,4.96
depth,Les Miserables,f0.125_r1,72426,9023,8.0,19.84,0.1746,0.1659,4.97
depth,Les Miserables,f0.0625_r0,36016,6251,5.8,19.03,0.1903,0.1629,14.37
depth,Les Miserables,f0.0625_r1,36051,6149,5.9,18.57,0.1853,0.1614,12.89
depth,King James Bible,f1.0_r0,792180,12555,63.1,23.76,0.1882,0.1501,20.28
depth,King James Bible,f0.5_r0,396258,9982,39.7,21.65,0.1758,0.1546,12.04
depth,King James Bible,f0.5_r1,396390,9997,39.7,21.51,0.1732,0.1525,11.95
depth,King James Bible,f0.25_r0,197926,7702,25.7,18.79,0.1653,0.1563,5.4
depth,King James Bible,f0.25_r1,197943,7661,25.8,18.64,0.167,0.1577,5.57
depth,King James Bible,f0.125_r0,99439,5810,17.1,16.06,0.1659,0.1611,2.89
depth,King James Bible,f0.125_r1,98860,5817,17.0,15.69,0.1645,0.1584,3.71
depth,King James Bible,f0.0625_r0,49578,4298,11.5,14.59,0.1815,0.1698,6.44
depth,King James Bible,f0.0625_r1,50047,4236,11.8,14.23,0.1763,0.1658,5.92
