rung_books,mode,tokens,V,tok_per_V,zm_b,zm_c,zm_rmse,lam,lzm_rmse,s,s_over_V,erf_rmse,wg,wt,k
10,full,628743,22255,28.3,1.6078,231.7,0.1811,22.26,0.1524,279.1,0.01254,0.1107,3.2399,0.8424,331.3
30,full,1840003,39792,46.2,1.8366,740.34,0.1944,26.29,0.1493,523.7,0.01316,0.1194,2.6232,0.622,842.0
100,full,5861485,72992,80.3,2.0567,1570.68,0.2029,27.11,0.1646,941.4,0.0129,0.1234,2.5856,0.6857,1372.9
100,sub,5861485,72992,80.3,2.0567,1570.68,0.2029,27.11,0.1646,941.3,0.0129,0.1234,2.5846,0.685,1374.3
300,full,17945458,138114,129.9,2.0658,1759.61,0.2111,26.63,0.19,1620.3,0.01173,0.094,4.1905,10.0,162.0
1000,sub,58203575,322883,180.3,1.8218,714.46,0.2445,34.49,0.2233,3105.3,0.00962,0.0969,0.8929,0.1527,20335.5
3000,sub,181182319,622673,291.0,1.7725,443.42,0.2462,44.96,0.2131,6101.4,0.0098,0.1006,0.9394,0.167,36545.5
10000,sub,612613141,1337407,458.1,1.6931,168.43,0.2517,58.45,0.2004,13102.3,0.0098,0.1005,1.0969,0.2259,58007.5
30000,sub,1857989260,2641125,703.5,1.6404,62.44,0.2382,66.04,0.1794,26924.3,0.01019,0.1028,1.3856,0.3219,83629.5
-1,sub,2844329022,3491525,814.6,1.6186,37.78,0.2393,69.5,0.1787,37160.0,0.01064,0.1059,2.5966,1.0864,34205.6
