corpus,V,family,gmm_mu_head,gmm_mu_tail,gmm_pi_head,gmm_sd_head,gmm_sd_tail,real_c,real_winner,step2_winner,tokens,zm_c
Complete Works of Shakespeare,20159,lognormal_twin,2.142883929050517,0.0,0.6406085356170348,1.4297177140430022,1e-06,244.84484777363113,is,is,392538,5896.724876933711
Complete Works of Shakespeare,22211,pareto_twin,,,,,,244.84484777363113,is,exp,12653434,1.6989928507130623
War and Peace,14508,lognormal_twin,2.0712061665412858,0.0,0.6693036793603866,1.357791837308355,1e-06,209.1315494553841,is,is,241177,5066.206262019287
War and Peace,15832,pareto_twin,,,,,,209.1315494553841,is,exp,6044076,3.551689596616084
King James Bible,10563,lognormal_twin,2.2748095851080468,0.0,0.686818148648168,1.5233689799233054,1e-06,171.38167664978175,is,is,276692,3576.538874994614
King James Bible,11213,pareto_twin,,,,,,171.38167664978175,is,exp,10373939,2.2697729875912516
Federalist Papers,7077,lognormal_twin,1.9538297939428668,0.0,0.6577696772812986,1.2325763911225398,1e-06,109.04140681413556,is,is,88434,2609.5845456783627
Federalist Papers,7940,pareto_twin,,,,,,109.04140681413556,is,exp,1236157,1.1685086209274427
Origin of Species,5770,lognormal_twin,2.008186474417655,0.0,0.6791057171985073,1.2858664814020158,1e-06,132.51415058330616,is,is,80316,2344.042293179591
Origin of Species,6284,pareto_twin,,,,,,132.51415058330616,is,exp,861274,6.042045359032071
Wealth of Nations,7995,lognormal_twin,2.1861517635554786,0.0,0.6855878260114155,1.4319793020055078,1e-06,180.40850551892163,is,is,161144,3278.019176363027
Wealth of Nations,8575,pareto_twin,,,,,,180.40850551892163,is,exp,3790421,2.142194486891243
Moby Dick,13511,lognormal_twin,1.667701335418892,0.0,0.5651688357896086,1.1059246077866889,1e-06,10.497932011426359,exp,is,97642,2676.5795211914656
Moby Dick,14373,pareto_twin,,,,,,10.497932011426359,exp,exp,386991,2.8442295219293325
Pride and Prejudice,5492,lognormal_twin,1.9055032074899487,0.0,0.613910097924428,1.2638426857153717,1e-06,34.11942084275591,exp,is,63146,1380.1397890897351
Pride and Prejudice,5708,pareto_twin,,,,,,34.11942084275591,exp,exp,340953,3.33731271355783
Dubliners,5537,lognormal_twin,1.623322097343692,0.0,0.5025850383073063,1.1161499821452854,1e-06,3.263282326595508,exp,exp,35985,645.507372029082
Dubliners,5228,pareto_twin,,,,,,3.263282326595508,exp,xpow,91039,0.9871850798505128
Ulysses,22074,lognormal_twin,1.5602613529879918,0.0,0.4598483703910439,1.0601853923070725,1e-06,0.6324152122192379,exp,is,126088,1915.104023078214
Ulysses,20947,pareto_twin,,,,,,0.6324152122192379,exp,is,1103877,0.0
Grimm's Fairy Tales,3870,lognormal_twin,1.974991474489868,0.0,0.6420144847066146,1.3071186227728109,1e-06,45.98251274197185,exp,is,48998,1206.7429910464662
Grimm's Fairy Tales,4047,pareto_twin,,,,,,45.98251274197185,exp,exp,437589,1.3564771895352492
Don Quixote,12709,lognormal_twin,1.9494940618833634,0.0,0.633042408071984,1.299900792107175,1e-06,65.66394188576379,exp,is,167413,3721.829953689961
Don Quixote,13000,pareto_twin,,,,,,65.66394188576379,exp,exp,1797582,0.8947561460237544
