corpus,tokens,slice,V,zm_c,zm_rmse,unit_winner,free_winner
Complete Works of Shakespeare,988670,full,24458,244.29449596872593,0.18443073641225718,is,is
Complete Works of Shakespeare,300000,300000,15020,33.15804555276949,0.17011556224580612,exp,is
Complete Works of Shakespeare,150000,150000,10080,13.445152001893648,0.17583301663182957,exp,xpow
Complete Works of Shakespeare,80000,80000,7323,6.425234917701913,0.18920296953588425,exp,xpow
Complete Works of Shakespeare,40000,40000,4966,2.9749693056674698,0.19596555625667494,xpow,xpow
War and Peace,583368,full,17445,208.67985538829163,0.1829820865897712,is,is
War and Peace,300000,300000,12992,75.74852411289962,0.1694637128159583,exp,is
War and Peace,150000,150000,9247,36.286291580154995,0.1675222325842937,exp,is
War and Peace,80000,80000,6956,14.712984062995153,0.17217837117235793,exp,is
War and Peace,40000,40000,4513,6.373368331184219,0.1698391479823816,exp,xpow
King James Bible,792180,full,12555,171.02237166490934,0.18823090029045722,is,is
King James Bible,300000,300000,7302,70.5228828500777,0.17287529936158383,is,is
King James Bible,150000,150000,4641,58.52031513373782,0.16986165147378593,is,is
King James Bible,80000,80000,3503,36.85625413994877,0.1659189013715729,exp,is
King James Bible,40000,40000,2549,17.97902672970745,0.16633014994762954,exp,is
Les Miserables,575614,full,22677,182.0429443227786,0.1884155861871878,is,is
Les Miserables,300000,300000,17200,52.987326178048875,0.18012315601884882,exp,is
Les Miserables,150000,150000,11963,12.96016445324217,0.17187690357911153,exp,xpow
Les Miserables,80000,80000,9000,1.888579653536024,0.17173780356988566,exp,xpow
Les Miserables,40000,40000,5914,0.08124957781158013,0.17924880933521442,xpow,xpow
Don Quixote,433304,full,15574,66.24418110383367,0.17475951061824874,exp,is
Don Quixote,300000,300000,13425,34.99126320319843,0.1707394257764852,exp,xpow
Don Quixote,150000,150000,10060,8.753355193591666,0.1632952387083256,exp,euclid
Don Quixote,80000,80000,8004,1.7152994203612568,0.1709795989073829,exp,xpow
Don Quixote,40000,40000,5742,0.0,0.18530221964633306,xpow,xpow
Moby Dick,219054,full,16956,10.460096977878036,0.16154876838400725,exp,xpow
Moby Dick,150000,150000,14138,3.618758345324987,0.1617724684371441,exp,xpow
Moby Dick,80000,80000,10312,0.37110239414289936,0.17667657072581877,xpow,xpow
Moby Dick,40000,40000,6485,0.0,0.19656473333178207,xpow,xpow
