corpus,model,scale,V,b,c
Complete Works of Shakespeare,real_thinned,1.0,24458.0,1.724338368951316,244.77769419027618
Complete Works of Shakespeare,real_thinned,0.5,18836.5,1.5310559559029695,103.71420746601616
Complete Works of Shakespeare,real_thinned,0.25,14182.0,1.3623764832176535,36.489681015939816
Complete Works of Shakespeare,real_thinned,0.125,10301.5,1.227697775712738,11.89706595903733
Complete Works of Shakespeare,real_thinned,0.0625,7425.5,1.1039986517693938,3.365254065773598
Complete Works of Shakespeare,pln_fullfit,1.0,24480.0,1.707072628506729,223.07810606058297
Complete Works of Shakespeare,pln_fullfit,0.5,18965.0,1.5377987245350528,116.44136248240382
Complete Works of Shakespeare,pln_fullfit,0.25,14259.5,1.3712690116149446,38.02757669252399
Complete Works of Shakespeare,pln_fullfit,0.125,10530.0,1.2237475716465207,8.279785723744713
Complete Works of Shakespeare,pln_fullfit,0.0625,7464.0,1.1280539541513455,3.2932732150550192
Complete Works of Shakespeare,nlt_fullfit,1.0,24534.0,1.6610847883882132,181.87887866184258
Complete Works of Shakespeare,nlt_fullfit,0.5,18856.5,1.5028322194008485,67.01236056050975
Complete Works of Shakespeare,nlt_fullfit,0.25,14207.5,1.353055106723537,22.03521535687029
Complete Works of Shakespeare,nlt_fullfit,0.125,10425.5,1.2333495335671358,10.395597203873201
Complete Works of Shakespeare,nlt_fullfit,0.0625,7252.5,1.0931219282042484,3.404882097835917
Complete Works of Shakespeare,pln_upscaled_from_150k,1.0,23718.5,1.6882120178072333,187.5619570257816
Complete Works of Shakespeare,nlt_upscaled_from_150k,1.0,24072.5,1.7248060330718618,262.0216720885644
War and Peace,real_thinned,1.0,17445.0,1.680145300954005,208.1385290741217
War and Peace,real_thinned,0.5,13607.0,1.4592528573944004,74.80925104507804
War and Peace,real_thinned,0.25,10289.5,1.2812534707699237,20.397270034646198
War and Peace,real_thinned,0.125,7476.5,1.1467592221171061,4.993681987161537
War and Peace,real_thinned,0.0625,5302.5,1.0306982062650833,0.8615185814101503
War and Peace,pln_fullfit,1.0,17502.5,1.7097927755391975,285.66149122918677
War and Peace,pln_fullfit,0.5,13651.0,1.4979673363728554,128.51022433803575
War and Peace,pln_fullfit,0.25,10237.0,1.2978165690679648,32.65065824998885
War and Peace,pln_fullfit,0.125,7499.0,1.1360670653040343,12.855636936613838
War and Peace,pln_fullfit,0.0625,5273.5,1.0102304299390332,4.067159078368919
War and Peace,nlt_fullfit,1.0,17435.5,1.7340158720834684,320.82376216501143
War and Peace,nlt_fullfit,0.5,13661.5,1.489567471636434,118.75508699141926
War and Peace,nlt_fullfit,0.25,10246.5,1.2900331050500715,56.13993925181748
War and Peace,nlt_fullfit,0.125,7513.5,1.1383358763562337,21.79673258238424
War and Peace,nlt_fullfit,0.0625,5280.5,1.0230246969322399,6.71253464756923
War and Peace,pln_upscaled_from_150k,1.0,17200.0,1.7009782861216047,238.47090782029395
War and Peace,nlt_upscaled_from_150k,1.0,17183.0,1.6849364404315565,209.45773272826227
Moby Dick,real_thinned,1.0,16956.0,1.1823958684033165,10.657546582076534
Moby Dick,real_thinned,0.5,12268.5,1.0657209837276298,1.3362925528714946
Moby Dick,real_thinned,0.25,8513.0,0.9674180735527336,0.0
Moby Dick,real_thinned,0.125,5623.5,0.8913196589450919,0.0
Moby Dick,real_thinned,0.0625,3585.5,0.8163165903188107,0.0
Moby Dick,pln_fullfit,1.0,17008.5,1.1809374049489576,14.057018152940863
Moby Dick,pln_fullfit,0.5,12246.5,1.0626930112524828,2.215413937917933
Moby Dick,pln_fullfit,0.25,8444.0,0.9813210924014186,0.5216211392178923
Moby Dick,pln_fullfit,0.125,5611.0,0.878567576906099,0.0
Moby Dick,pln_fullfit,0.0625,3608.5,0.7967267605388052,0.0
Moby Dick,nlt_fullfit,1.0,17072.0,1.1914090360527587,12.154281929292592
Moby Dick,nlt_fullfit,0.5,12311.5,1.06586202902063,1.6980822524977985
Moby Dick,nlt_fullfit,0.25,8521.5,0.9675868276331454,0.028546979767759634
Moby Dick,nlt_fullfit,0.125,5702.0,0.9004744868071833,0.04428600986991283
Moby Dick,nlt_fullfit,0.0625,3583.5,0.8088150824453044,0.0
Moby Dick,pln_upscaled_from_150k,1.0,16957.0,1.1917796922227946,13.443051436508256
Moby Dick,nlt_upscaled_from_150k,1.0,16969.5,1.1904675389785906,18.59370248666714
Les Miserables,real_thinned,1.0,22677.0,1.5266642561424235,184.08625851605402
Les Miserables,real_thinned,0.5,17184.5,1.3178342232364135,47.05721347689723
Les Miserables,real_thinned,0.25,12659.0,1.155487733191598,6.889579921452595
Les Miserables,real_thinned,0.125,9108.0,1.0362269302248746,0.5952390694263017
Les Miserables,real_thinned,0.0625,6170.5,0.939840371277143,0.0
Les Miserables,pln_fullfit,1.0,22487.5,1.5597062426536534,228.82400205094174
Les Miserables,pln_fullfit,0.5,17184.0,1.3480067098748818,86.82395379574076
Les Miserables,pln_fullfit,0.25,12514.5,1.204872434271783,29.51560755981555
Les Miserables,pln_fullfit,0.125,9040.5,1.0610398067667703,6.51296651450766
Les Miserables,pln_fullfit,0.0625,6054.5,0.9296012282593336,2.0538291314166246
Les Miserables,nlt_fullfit,1.0,22617.5,1.5726707994751954,409.76826887168033
Les Miserables,nlt_fullfit,0.5,17546.5,1.3641252926948666,203.91381934459002
Les Miserables,nlt_fullfit,0.25,12540.5,1.1589216726352178,82.87211878503484
Les Miserables,nlt_fullfit,0.125,8928.5,0.996233235336561,25.588319495977736
Les Miserables,nlt_fullfit,0.0625,6139.0,0.8229586302108558,1.4592277224513013
Les Miserables,pln_upscaled_from_150k,1.0,22430.5,1.534252465568064,195.62778942813932
Les Miserables,nlt_upscaled_from_150k,1.0,21844.5,1.5382691023021897,250.05949406654065
