corpus,matched,tokens,V,zm_b,zm_c,winner,pi_h,sd_t,sd_h,hapax
EN Shakespeare,True,65000,6587,1.178291866685695,4.895091373976284,xpow,0.012834399397950492,1.9404816305429213,1.0165995389070903,0.5234552907241536
EN War and Peace (tr),True,65000,6156,1.2210166720056006,10.107864625412804,exp,0.009595986981061115,1.731967821738523,0.6036540824643765,0.46994801819363224
EN KJ Bible,True,65000,3320,1.515772971318368,24.01655731734122,exp,0.022203638645319972,1.704110083682662,0.5281859688126297,0.3795180722891566
EN Pride and Prejudice,True,65000,5140,1.2911460945844535,12.330949799631998,exp,0.007479770839045957,1.739437212551075,0.6187909997708004,0.42976653696498057
EN Moby Dick,True,65000,8932,1.0085711119826555,0.1495830624492081,xpow,0.006718224488202877,1.7206665251586017,0.5975223079734733,0.5463502015226153
EN Don Quixote (tr),True,65000,7318,1.0774612945407445,0.9306299544107934,exp,0.007899909992430777,1.7630770562953475,0.9883019932807833,0.5118884941240777
EN Ulysses,True,65000,10366,0.9694964429162228,0.0,xpow,0.0010000000002220292,2.1024267582779075,0.8963661945559828,0.5914528265483311
EN Federalist,True,65000,6035,1.1693394062284344,7.651756331551951,exp,0.00582224751489576,1.681894720000626,0.5792896187049194,0.42651201325600663
RU War and Peace,True,65000,14833,0.8658410363736408,0.0,xpow,0.0056236159713218565,1.8098371112057714,0.7037272935990168,0.6238117710510348
ZH Three Kingdoms,True,65000,20236,0.7572204412984261,0.0,xpow,0.001,2.4783989184590682,0.9949086725878383,0.7100217434275549
AR 1001 Nights,True,65000,15203,0.8624470035997359,0.0,xpow,0.0010000454470675648,2.37113551222899,0.6287574912947755,0.6360586726304019
LA Gallic Wars,False,51425,11126,0.9380554246992857,3.7144394457010863,exp,0.0010000048121191739,2.071500565258558,0.7522016374594032,0.5754988315657019
FR Les Miserables,True,65000,9070,0.9912051046013853,0.0,xpow,0.0015580281427779318,2.0132206169097464,0.514595571184952,0.5768467475192943
ES Don Quixote,True,65000,8348,1.024348984020815,0.017308193288242218,xpow,0.0010000000000156925,1.8942487244353938,0.9505663246769142,0.5723526593195976
NL Max Havelaar,True,65000,8750,1.0242913657693313,0.4633141425086471,xpow,0.0010000000000000148,2.162516394614243,0.6199112692721517,0.5669714285714286
IT Promessi Sposi,True,65000,11370,0.9352179653662146,0.0,xpow,0.0010000400991480639,2.2450171840504596,1.0945405434506805,0.6128408091468778
FI Seitseman veljesta,True,65000,18388,0.7827411868529024,0.0,xpow,0.0015034120850603203,2.0760027971752386,0.7329436142089457,0.6523276049597564
PT Dom Casmurro,True,65000,8706,1.0284255904862833,0.540309047093891,xpow,0.001,1.8449952242344534,0.9635077576847356,0.5543303468872042
DE Wahlverwandtschaften,True,65000,9748,1.0020904284258199,0.5767108476227745,xpow,0.004291475372970301,2.06507222755687,1.082306440684512,0.5831965531391055
SV Gosta Berling,True,65000,7050,1.0930560345033873,0.7129813747108267,xpow,0.00666766249663496,1.9390951924604198,0.723600273008386,0.5678014184397163
PL Pan Tadeusz (33k only),False,32651,11730,0.685199316640996,0.0,xpow,0.001313689124799107,2.001881693770334,0.9272848737395193,0.6855924978687127
